"","K3_1VEZ","B2","Socio","tenencia","Elect","Gast","Leña","N.Var1","N.Freq"
"1",1,4.67935871743487,7.18436873747495,4.60921843687375,0.00123021162324649,0.000162599937476413,7.21442885771543e-05,"1",499
"2",2,3.86792452830189,5,1.60377358490566,0.00068902641509434,8.56297376093294e-05,0.00961132075471698,"2",53
"3",3,3.36743215031315,5.17327766179541,1.39665970772443,0.000744621294363257,0.000146848293511958,0.000162544885177453,"3",958
"4",4,3.6,5.6,0.8,0.00063648,0.000121619047619048,0.04644,"4",5
"5",0,3.81782178217822,5.83102310231023,2.46006600660066,0.000902259801980198,0.000149811554664406,0.000616051485148515,NA,0
